N,P,K,ph,temperature,rainfall,humidity,label
90,42,43,6.502985292000001,20.87974371,202.9355362,82.00274423,rice
85,58,41,7.038096361,21.77046169,226.6555374,80.31964408,rice
60,55,44,7.840207144,23.00445915,263.9642476,82.3207629,rice
74,35,40,6.980400905,26.49109635,242.8640342,80.15836264,rice
78,42,42,7.628472891,20.13017482,262.7173405,81.60487287,rice
69,37,42,7.073453503,23.05804872,251.0549998,83.37011772,rice
69,55,38,5.70080568,22.70883798,271.3248604,82.63941394,rice
94,53,40,5.718627177999999,20.27774362,241.9741949,82.89408619,rice
89,54,38,6.685346424,24.51588066,230.4462359,83.53521629999999,rice
68,58,38,6.336253525,23.22397386,221.2091958,83.03322691,rice
91,53,40,5.386167788,26.52723513,264.6148697,81.41753846,rice
90,46,42,7.50283396,23.97898217,250.0832336,81.45061596,rice
78,58,44,5.108681786,26.80079604,284.4364567,80.88684822,rice
93,56,36,6.98435366,24.01497622,185.2773389,82.05687182,rice
94,50,37,6.94801983,25.66585205,209.5869708,80.66385045,rice
60,48,39,7.0422990689999985,24.28209415,231.0863347,80.30025587,rice
85,38,41,6.2490506560000005,21.58711777,276.65524589999995,82.7883708,rice
91,35,39,6.970859754,23.79391957,206.2611855,80.41817957,rice
77,38,36,5.953933276,21.8652524,224.55501690000003,80.1923008,rice
88,35,40,5.85393208,23.57943626,291.2986618000001,83.58760316,rice
89,45,36,6.442475375,21.32504158,185.4974732,80.47476396,rice
76,40,43,5.070175667,25.15745531,231.3843163,83.11713476,rice
67,59,41,6.012632591,21.94766735,213.3560921,80.97384195,rice
83,41,43,6.254028451,21.0525355,233.1075816,82.67839517,rice
98,47,37,7.375482851,23.48381344,224.0581164,81.33265073,rice
66,53,41,7.778915154,25.0756354,257.0038865,80.52389148,rice
97,59,43,6.2865001760000006,26.35927159,271.35861370000003,84.04403589,rice
97,50,41,7.070959995,24.52922681,260.2634026,80.54498576,rice
60,49,44,6.244841491,20.77576147,240.0810647,84.49774397,rice
84,51,35,6.043304899,22.30157427,197.9791215,80.64416466,rice
73,57,41,5.824709117,21.44653958,272.2017204,84.94375962,rice
92,35,40,6.3573893660000005,22.17931888,200.0882787,80.33127223,rice
85,37,39,6.364134967999999,24.52783742,224.67572310000003,82.73685569,rice
98,53,38,5.01450727,20.26707606,270.4417274,81.63895217,rice
88,54,44,6.149410611,25.7354293,233.1321372,83.88266234,rice
95,55,42,5.950660556,26.79533926,193.3473987,82.1480873,rice
99,57,35,5.960370061,26.75754171,272.29990560000005,81.17734011,rice
95,39,36,5.561398642,23.86330467,285.2493645,83.15250801,rice
60,43,44,7.416245107000001,21.01944696,298.40184710000005,82.95221726,rice
63,44,41,5.583370042,24.17298839,257.0343554,83.7287574,rice
62,42,36,6.430010215,22.78133816,248.7183228,82.06719137,rice
64,45,43,5.534878156,25.62980105,209.9001977,83.52842314,rice
83,60,36,6.903985986,25.59704938,200.834898,80.14509262,rice
82,40,40,6.271478837999999,23.83067496,298.5601175,84.81360127,rice
85,52,45,7.224285503,26.31355498,265.5355937,82.36698992,rice
91,35,38,6.13428721,24.8972823,183.6793207,80.52586088,rice
76,49,42,5.206373153,24.958779,196.95600080000003,84.47963372,rice
74,39,38,7.782051312999999,23.24113501,233.0453455,84.59201843,rice
79,43,39,7.062779015,21.66628296,210.8142087,80.70960551,rice
88,55,45,7.730367824,24.63544858,253.7202781,80.41363018,rice
60,36,43,5.286203711000001,23.43121862,219.9048349,83.06310136,rice
76,60,39,6.766240045,20.0454142,208.5810155,80.3477562,rice
93,56,42,7.382762603,23.85724032,195.0948311,82.22572988,rice
65,60,43,5.658169482000001,21.97199397,227.3637009,81.89918197,rice
95,52,36,5.543360237999999,26.22916897,286.5083725,83.83625819,rice
75,38,39,6.215109715,23.44676801,283.9338466,84.79352417,rice
74,54,38,7.120272972,25.65553461,217.3788583,83.47021081,rice
91,36,45,5.950647577000001,24.44345477,267.97619480000003,82.45432595,rice
71,46,40,7.236705436,20.2801937,191.9535738,82.1235421,rice
99,55,35,6.501697816,21.7238313,277.9626192,80.2389895,rice
72,40,38,7.592490617,20.41447029,245.1511304,82.20802629,rice
83,58,45,5.875345751,25.75528612,245.6626799,83.51827127,rice
93,58,38,6.932400225,20.61521424,279.5451717,83.77345559,rice
70,36,42,6.9462098810000015,21.84106875,202.3838319,80.72886384,rice
76,47,42,5.739175027000001,20.08369642,263.6372176,83.29114712,rice
99,41,36,6.738652179,24.45802087,182.5616319,82.74835604,rice
99,54,37,5.5948196260000005,21.14347496,198.6730942,80.33502926,rice
86,59,35,6.946636369,25.78720567,243.5120414,82.11124033,rice
69,46,41,5.012139669,23.64124821,263.1103304,80.28597873,rice
91,56,37,6.363472207999999,23.43191632,269.5039162,80.56887849,rice
61,52,41,6.880431223,24.97669518,204.8001847,83.891805,rice
67,45,38,7.300410836,22.72791041,260.8875056,82.17068809999998,rice
79,42,37,6.587918707999999,24.87300744,295.6094492000001,82.84022551,rice
78,43,42,7.283736617000001,21.32376327,192.3197536,83.00320459,rice
75,54,36,7.023936392,26.29465461,257.4914906,84.56919326,rice
97,36,45,6.939083505,22.2286982,278.0791793,81.85872947,rice
67,47,44,7.868474653,26.73072391,280.4044392,81.78596776,rice
73,35,38,5.005306977,24.88921174,185.9461429,81.97927117,rice
77,36,37,6.136131869,26.88444878,194.5766559,81.46033732,rice
81,41,38,7.5240800760000015,22.67846116,200.9133156,83.72874389,rice
68,57,43,5.706943251,26.08867875,182.9043504,80.37979919,rice
72,45,35,5.758506323,25.42977518,195.3574542,82.94682591,rice
61,53,43,6.349606327,26.40323239,223.3671883,81.05635517,rice
67,43,39,5.9999690260000005,26.04371967,186.7536773,84.96907151,rice
67,58,39,5.453592032,25.2827223,220.1156708,80.54372813,rice
66,60,38,6.372576327000001,22.08576562,231.7364957,83.47038318,rice
82,43,38,5.105588355,23.28617173,242.3170629,81.43321641,rice
84,50,44,5.9353444060000005,25.48591986,182.6549356,81.40633547,rice
81,53,42,5.17782304,23.67575393,233.7034975,81.03569343,rice
91,50,40,6.462391607000001,20.82477109,230.22422230000004,84.1341879,rice
93,53,38,7.069172227,26.92995077,290.67937830000005,81.91411159,rice
90,44,38,7.473134377,23.83509503,241.20135130000003,83.88387074,rice
81,45,35,6.158376967000001,26.52872817,218.9163567,80.12267476,rice
78,40,38,7.549873681,26.46428311,248.2256491,83.85642678,rice
60,51,36,6.028321557999999,22.69657794,256.9964761,82.81088865,rice
88,46,42,6.604993475,22.68319059,194.2651719,83.46358271,rice
93,47,37,6.500343222000001,21.53346343,295.9248796,82.14004101,rice
60,55,45,5.935745417000001,21.40865769,287.5766935000001,83.32931909999998,rice
78,35,44,7.072655622,26.54348085,183.6222657,84.67353597,rice
65,37,40,5.333322606,23.35905428,188.413665,83.59512273,rice
71,54,16,5.7499144210000015,22.61359953,87.75953857,63.69070564,maize
61,44,17,6.931756557999999,26.10018422,102.2662445,71.57476937,maize
80,43,16,6.657964753,23.55882094,66.71995467,71.59351368,maize
73,58,21,6.596060648,19.97215954,60.65171481,57.68272924,maize
61,38,20,5.970458434,18.47891261,65.43835393,62.69503871,maize
68,41,16,6.158830619,21.77689322,102.0861694,57.80840636,maize
93,41,17,6.047906679,25.6217169,105.4654703,66.50415474,maize
89,60,19,5.913664501,25.19192419,78.06639649,66.69029010000001,maize
76,44,17,5.855442401,20.41683147,65.27798457,62.55424820000001,maize
67,60,25,5.750254943,24.92162194,109.2162279,66.78627406,maize
70,44,19,5.852607099,23.31689124,94.29712821,73.4541537,maize
90,49,21,6.4725232870000005,24.84016732,74.05474936,68.3584573,maize
62,52,16,6.9670577620000005,22.27526694,63.87020584,58.84015925,maize
92,44,16,6.082973754,18.87751445,94.76189431,65.76816093,maize
66,54,21,5.919045532,25.19008683,72.12375573,60.200168700000006,maize
63,58,22,6.204747652999999,18.25405352,63.72358154,55.28220433,maize
70,47,17,6.600827017,24.612911800000006,104.1626147,70.4162444,maize
61,41,17,6.021902237000001,25.1420613,76.68456006,65.26185135,maize
66,53,19,6.033550195,23.09348056,65.49730729,60.11593810000001,maize
74,55,19,6.28886807,18.05033737,84.23613484,62.89366992,maize
77,57,21,6.550563822999999,24.9321581,79.74078719,73.80435276,maize
99,50,15,5.573286437,18.14710054,88.07753741,71.09445342,maize
74,56,22,6.829199275,18.28362235,80.97573281,66.65952796,maize
83,45,21,5.716222912,18.83344471,79.75328959999999,58.75082029,maize
100,48,16,5.54990242,25.71895816,74.51490791,67.22190688,maize
79,51,16,6.586244581,25.33797709,96.46380213,68.49835977,maize
94,39,18,5.893093135,23.89114571,102.8301942,57.48775781,maize
75,49,15,5.918263801,21.53574127,102.4852929,71.50905983,maize
78,48,22,5.588650585,23.08974909,70.43473609,63.10459626,maize
87,54,20,6.576418207000001,25.61707368,108.8303762,63.4711755,maize
87,35,25,6.178056304,21.44526922,65.88951188,63.1621551,maize
63,43,19,6.641906353,18.51816776,90.988051,55.53128131,maize
84,57,25,6.489040367,22.53510514,64.40866039,67.99257471,maize
64,35,23,5.680361037999999,23.02038334,63.03843397,61.89472002,maize
60,46,22,6.625404347999999,24.89364635,87.9298085,65.61418761,maize
98,44,21,6.524478032,25.77175115,107.4931917,74.089114,maize
75,56,18,5.696205468,19.39851734,60.95197486,62.35750641,maize
86,55,21,6.803931519,21.54156232,109.7515385,59.64024162,maize
98,35,18,6.252797547999999,23.79746068,91.76337172,74.82913698,maize
76,57,18,6.092725883,18.9802729,94.26249353,74.52600826,maize
99,56,17,6.234330356,24.10859207,71.07562236,73.13112261,maize
60,44,23,5.722579819,24.7947077,76.72860067,70.04556743,maize
74,48,17,6.430616465,21.63162756,69.21803098,60.27766379,maize
89,60,17,5.983952675,25.37548751,101.7004306,57.21025565,maize
69,51,23,6.80163854,22.21738222,106.6213157,72.85462807,maize
96,46,22,6.499936446,20.58314011,66.29390357,69.00128641,maize
61,60,15,6.265564338,24.87502824,91.26056654,68.74248334,maize
74,58,18,6.727303282,20.03728219,109.024141,56.35606753,maize
74,43,23,6.325235159,25.95263264,99.57981207,61.89082199,maize
63,43,17,6.807487794,19.28889933,71.3195307,65.47050802,maize
99,36,20,6.671085817000001,20.57981887,78.34604471,65.34583901,maize
77,36,23,6.648725327,24.71417533,88.45361858,56.73426469,maize
87,60,23,6.439071996,20.27317074,62.50351892,63.91281869,maize
60,38,17,6.474476516,18.41932981,76.41312437,64.23580251,maize
94,54,17,5.871647806,23.39128187,107.3198135,61.74427165,maize
95,38,22,5.730617109,19.84939404,100.7689246,61.24500053,maize
84,44,21,5.850439831,21.869274,107.2681929,61.91044947,maize
77,58,19,5.791649933,22.8056033,101.5952794,56.50768935,maize
66,44,20,6.740000687999999,19.0781471,80.72515943,69.02298571,maize
63,35,16,6.272417541,22.02720976,83.73280082,65.35549924,maize
79,45,20,5.715208817000001,23.80546189,89.96220140000001,59.24537979,maize
72,60,25,5.773454729,18.52510753,88.10234397,69.0276233,maize
67,51,24,5.584171461,23.50297882,64.77791424,61.32026065,maize
86,36,24,5.787268394,26.54986394,73.33636055,72.89187265,maize
76,48,18,5.77597783,19.29563411,83.21030571,69.63481219,maize
75,53,18,6.864793607,20.68899915,103.651438,59.4375337,maize
81,45,23,6.192360002999999,19.32666088,84.22969177,68.03449300000001,maize
73,45,21,6.636803222999999,24.60532218,96.59195302,73.58868502,maize
71,35,24,5.826426917,22.27373646,67.96704792,59.52193158,maize
96,54,22,6.960358276,25.70196694,83.20711308,61.33450447,maize
99,39,18,6.11275104,19.20129357,87.85092352,68.30578978,maize
62,48,20,6.708446922,21.70181447,95.71388473,60.47470519,maize
86,37,16,5.561510732,20.51716779,67.61013737,59.21235483,maize
94,50,19,5.873242491,23.30355338,97.59081274,73.62548442,maize
76,39,24,6.995843776,24.2547451,64.23845455,55.64709899,maize
77,52,17,5.714799723,24.86374934,75.82270467,65.7420046,maize
74,39,23,6.78073637,22.6265115,88.17251033,65.77472881,maize
81,49,20,5.513697923,18.04185513,104.2321615,60.61494304,maize
63,42,21,5.798423907999999,23.26237612,67.10225139,72.33125523,maize
99,38,21,6.352471866,22.88330922,67.72777298,71.59722446,maize
90,52,25,6.822586546,25.97482359,103.2234212,69.36385721,maize
68,40,19,6.655426355,26.14384005,107.2361366,66.20569924,maize
60,57,24,6.1212940410000005,18.66116213,75.03247667,61.55327249,maize
71,52,18,5.790770202999999,25.10787449,78.16077693,55.97732754,maize
61,59,17,6.47444292,23.33844615,105.0083144,59.24580604,maize
88,38,15,6.455116637000001,25.08239719,62.49190812,65.92195844,maize
65,60,22,6.6069840860000015,25.36768364,107.9124111,72.52054555,maize
78,37,22,6.330554389,25.34217103,74.52082026,63.31801994,maize
78,58,15,6.5286312660000005,25.00933355,62.91359494,67.816568,maize
92,60,23,5.721667141,18.66746724,69.93293255,71.516474,maize
79,59,17,6.644205485,20.37999665,108.5054416,63.73849998,maize
91,55,15,6.376651091,18.09300227,78.96159541,72.61024172,maize
76,51,18,6.247040422,26.16985907,79.84925393,71.96246617,maize
87,48,25,6.656730007999999,18.65396672,93.62039175,61.37879671,maize
71,60,22,6.2048017,26.07470121,85.75692395,59.37147589,maize
90,57,24,6.158860284,18.92851916,82.34162918,72.80086137,maize
67,35,22,6.3856842139999985,23.30546753,108.7603001,63.24648023,maize
60,54,19,6.417820493,18.74826712,70.23401597,62.49878458,maize
83,58,23,6.381201909,19.74213321,65.50861389,59.66263104,maize
83,57,19,6.877869005,25.73044432,98.73771338,70.74739256,maize
40,72,77,7.485996067,17.02498456,88.55123143,16.98861173,chickpea
23,72,84,6.920251378,19.02061277,79.92698081,17.13159126,chickpea
39,58,85,5.9969320370000005,17.88776475,68.54932919,15.40589717,chickpea
22,72,85,6.391173589,18.86805647,88.51048983,15.65809214,chickpea
36,67,77,7.152811172000001,18.36952567,79.26357665,19.56381041,chickpea
32,73,81,5.988992796000002,20.45078582,92.68373702,15.40312102,chickpea
58,70,84,6.231049027999999,20.6543203,74.6631118,16.60820843,chickpea
59,70,84,7.550808267000001,17.3348681,82.61734721,18.74926979,chickpea
42,62,75,7.010570541,18.17912258,81.84997529,18.90426935,chickpea
28,74,81,8.753795334,18.01272266,81.98568791,18.30968112,chickpea
58,66,79,8.718192847000001,20.99373558,93.55280105,19.33470387,chickpea
43,66,79,7.976607593,19.46233971,74.58565097,15.22538951,chickpea
58,63,81,6.5154995489999985,19.81344531,78.96514709,14.69765308,chickpea
23,62,85,8.490127142,18.97424756,80.7108745,19.5161216,chickpea
27,62,77,6.576415562,18.19737048,70.18185181,14.71070537,chickpea
28,72,84,6.481783042999999,18.72963144,71.58010169,19.18197264,chickpea
50,56,76,7.966605025,20.99502153,73.50734019,19.8601304,chickpea
39,71,84,8.140825437,20.28155898,82.52339655,16.39535215,chickpea
25,78,76,7.228963452,17.48042641,66.96980581,15.7559405,chickpea
31,70,77,6.492546046,20.88818675,90.46228334,14.32313811,chickpea
26,80,83,7.528599957000001,17.08498521,71.31007253,16.14565756,chickpea
25,68,77,7.701446446,20.09340593,85.74904898,15.11279612,chickpea
31,78,76,8.519975748,17.57212145,89.31050665,14.99927489,chickpea
60,68,83,6.620900869,19.12065218,85.52950164,18.43475844,chickpea
59,62,83,8.104396057999999,18.57665902,72.94940441,19.22008229,chickpea
22,67,78,6.204090835,17.16606398,72.32667516,14.42457525,chickpea
36,65,80,6.051091339,18.2872007,74.87445574,16.67921616,chickpea
59,60,84,7.690962337999999,19.03025305,94.70992037,18.66725565,chickpea
54,77,85,7.8292111439999985,17.141861399999996,83.74606679,17.0662427,chickpea
43,68,81,6.761599706,17.47809436,78.92060234,17.93253975,chickpea
28,76,82,6.654425315,20.56601874,83.75937135,14.25803981,chickpea
42,79,85,6.129533877,17.22385224,76.57580954,15.82069268,chickpea
32,60,83,8.829273328,19.69141713,91.76071648,19.44225438,chickpea
22,78,76,8.621662982,17.84851658,76.32470713,19.09172907,chickpea
31,79,75,8.204862075,18.8202251,89.73119396,16.1074793,chickpea
28,58,81,6.18042747,17.47500984,93.35034262,16.54314829,chickpea
57,58,77,7.978996755,18.72649425,81.20176515,17.58406365,chickpea
49,55,78,7.863113671,18.65580107,81.70769297,16.17772668,chickpea
46,76,77,6.967843048,18.2356751,83.74879344,19.68538502,chickpea
54,61,77,6.206582192999999,18.81198127,77.54294240000002,15.21618225,chickpea
38,60,76,8.868741443,18.65054116,77.92798682,17.80852431,chickpea
59,55,79,8.766128654,20.36720401,82.2545577,16.89574311,chickpea
36,76,75,8.736337905,18.38120357,70.52056697,16.63805158,chickpea
57,68,81,8.081095263,17.17012591,72.78624223,17.30457712,chickpea
35,66,81,6.138243973,19.37101121,85.24819851,15.77458129,chickpea
35,64,78,7.496645259,17.92845928,85.37378769,14.27327988,chickpea
52,60,79,8.380185271,19.45339934,75.6317566,18.23490739,chickpea
27,76,83,6.289614016,19.12829388,89.61857826,14.92241479,chickpea
57,60,84,6.586777189,19.1034283,75.49101167,17.26184541,chickpea
52,68,78,6.89655198,17.48504075,86.05078037,16.96070581,chickpea
43,79,79,7.8067476560000015,19.40751744,80.25064637,18.98030507,chickpea
44,74,85,7.150681303,20.18649426,78.26039559,19.63719995,chickpea
24,55,78,6.64919573,17.30287885,75.57790384,15.15405941,chickpea
29,77,75,7.778591617999999,17.50361137,72.9446671,15.48083156,chickpea
20,60,78,6.358740355,18.17234999,90.7760707,14.70085967,chickpea
56,67,78,8.255450758,17.57445618,77.81891424,16.71826572,chickpea
37,66,85,6.456148474,20.93175255,78.06910795,18.91295403,chickpea
49,71,76,6.613072145,19.71098332,85.57925437,17.63879418,chickpea
59,69,80,8.165359297,19.07937684,69.40619137,17.86754927,chickpea
20,79,77,7.64867466,18.54988627,76.32565249,16.02542689,chickpea
24,56,85,6.545888558,18.19903647,80.6405403,17.41333199,chickpea
51,72,75,7.1042247970000005,18.88852533,80.11133840000002,14.99451145,chickpea
57,73,85,7.358099622,18.49311205,91.94595352,14.72115044,chickpea
22,64,82,6.4740245000000005,19.48974337,87.51312796,17.17260319,chickpea
52,73,79,7.840339388999999,17.25769499,94.00287214,18.74943955,chickpea
29,75,75,7.064790365,19.62416326,88.4585692,18.71483156,chickpea
44,59,78,7.599033472,20.67526473,84.78344008,19.85388984,chickpea
41,69,82,6.715587232000001,20.02381489,68.97806542,16.63294455,chickpea
52,56,85,6.81712422,20.118744600000007,88.68168643,14.44228303,chickpea
34,76,80,7.985417393,20.65691793,65.23811143,15.84572566,chickpea
42,74,83,7.545258424,19.2582557,65.78042032,14.2804191,chickpea
34,71,79,7.728998197,17.927806,74.63872762,15.85622899,chickpea
27,73,79,7.354973451,19.16288268,82.69766829,15.83500655,chickpea
30,70,79,7.313122235,20.26942271,69.64449182,19.96978871,chickpea
57,57,75,7.785039076,17.09104223,87.27444866,18.25142068,chickpea
27,79,82,6.307004922999999,17.06579293,70.87150577,17.54024066,chickpea
32,71,85,6.4039823160000005,20.62767492,92.06630306,14.44008871,chickpea
31,76,82,7.599279991,20.8248451,79.20509212,17.85057083,chickpea
33,75,84,7.217018459,19.46210401,68.81405149,18.72831993,chickpea
47,80,77,7.561108006,17.18248372,72.85017344,16.42891834,chickpea
54,62,80,7.489545074,17.48911699,79.45758333,16.39055394,chickpea
47,79,78,6.609696734,17.48395377,65.11365631,14.76014523,chickpea
35,57,83,7.476800943,19.48316794,80.4986291,17.44534641,chickpea
53,73,77,7.325451279,19.71359733,73.64476535,18.09665739,chickpea
45,61,78,6.489389282,19.48649305,81.52842690000001,16.06240074,chickpea
37,78,79,7.786366322,19.95264829,88.6810311,14.82633099,chickpea
30,75,81,6.4084378860000015,19.41789736,68.4951189,16.80472243,chickpea
37,55,82,8.423873703,19.45591848,78.44910564,18.02235902,chickpea
53,65,76,8.719960893,20.19137759,77.33795356,16.41998269,chickpea
22,60,85,7.811997977000001,18.8392908,94.78189594,14.74071856,chickpea
60,61,78,6.317153205,20.71219282,94.03659867,19.83643308,chickpea
42,67,77,7.114405288,18.99424448,78.69707199,15.9362937,chickpea
39,76,76,8.135900726000001,19.96837462,69.15759062,15.57324389,chickpea
35,63,76,7.714153037999999,17.81564548,90.82097601,17.60756635,chickpea
30,65,82,7.103798069,20.71424384,76.77888672,15.27824066,chickpea
57,56,78,8.861479668,17.34150229,67.9545435,18.75626255,chickpea
48,65,78,7.861128148,17.43732714,73.0926704,14.33847406,chickpea
36,56,83,7.4526709,18.89780215,69.09512477,19.76182946,chickpea
40,58,75,7.168096055,18.59190771,89.60982451,14.77959596,chickpea
49,69,82,7.26311855,18.31561493,81.78710463,15.36143547,chickpea
13,60,25,5.68597166,17.13692774,128.256862,20.59541693,kidneybeans
25,70,16,5.759237003,19.63474332,106.3598183,18.90705639,kidneybeans
31,55,22,5.873171894,22.91350245,109.225556,21.33953114,kidneybeans
40,64,16,5.926676985,16.43340342,140.3717815,24.24045875,kidneybeans
2,61,20,5.95561668,22.13974653,76.64128258,23.02251117,kidneybeans
26,65,22,5.9499490810000015,17.84806561,143.09841709999995,18.77621951,kidneybeans
17,57,21,5.7892142889999985,19.88394011,60.91974792,20.31564139,kidneybeans
26,80,18,5.581021521,19.32509638,104.7783947,23.3334788,kidneybeans
17,59,17,5.689858133,18.416700100000003,132.9801054,23.42829938,kidneybeans
27,59,22,5.7941585039999985,21.81167649,130.0608093,23.20591245,kidneybeans
28,58,24,5.748190462999999,19.72702528,143.7630894,18.28173015,kidneybeans
25,57,19,5.566522896,17.15432954,87.99669731,19.87070659,kidneybeans
28,80,17,5.809419584,19.62207826,144.1567454,18.67170854,kidneybeans
25,60,22,5.887263027,21.63149148,134.3649948,21.17919701,kidneybeans
12,78,23,5.99812453,16.06522754,88.06638775,18.72479695,kidneybeans
6,77,25,5.792744849,20.61162204,69.63833855,24.36314135,kidneybeans
22,79,17,5.912289889,21.42451099,116.5206923,20.39659714,kidneybeans
27,80,15,5.7883869510000014,19.07096165,86.21917578,21.21092266,kidneybeans
10,55,23,5.728233081,21.18853178,137.1948633,19.63438599,kidneybeans
23,65,20,5.833940084,23.0429097,108.3684316,22.42610972,kidneybeans
19,78,16,5.967533236,20.65375833,67.71768947,23.10538637,kidneybeans
19,65,25,5.6250964460000015,18.09551014,144.7902323,18.29318436,kidneybeans
22,70,19,5.515615023,18.23775702,69.44951585,21.07643273,kidneybeans
37,64,22,5.954665349,17.48189735,121.9401369,18.8251973,kidneybeans
11,71,17,5.74644777,19.9191786,82.68554379,21.47324158,kidneybeans
18,79,20,5.877347515,20.27514686,139.7521543,23.2353604,kidneybeans
21,63,17,5.979973965,15.77370214,108.3441414,19.2303162,kidneybeans
24,80,22,5.635993966,16.71170642,96.77285817,19.17651433,kidneybeans
34,60,22,5.635231778,17.66148158,100.6711761,18.15302753,kidneybeans
16,75,21,5.679224346,18.50692825,87.05132890000002,23.61670065,kidneybeans
17,77,23,5.670062975,24.51324787,64.19497947,20.81527638,kidneybeans
37,72,18,5.724242065,18.87614998,105.4120514,24.54038287,kidneybeans
40,73,20,5.811314232000001,21.59343016,61.13872036,20.31871249,kidneybeans
9,77,17,5.783425416,20.12373284,106.158201,24.45202552,kidneybeans
1,62,23,5.607808432000001,15.43546065,139.0302034,18.37477907,kidneybeans
33,59,22,5.946999529,22.64236876,122.3886015,21.59396123,kidneybeans
23,59,19,5.852046999,21.98560799,129.5650601,24.87304788,kidneybeans
6,62,22,5.824090984,20.53052663,120.4509288,18.09224048,kidneybeans
25,63,20,5.502999119,15.78601387,95.17028129,21.14544088,kidneybeans
7,79,23,5.821649914,19.6365349,96.65888933,19.68751084,kidneybeans
8,72,17,5.711439256,20.57341244,87.87869161,19.7520218,kidneybeans
27,64,15,5.514927264,20.16080524,138.2362122,24.84207559,kidneybeans
28,66,23,5.99616119,21.53989176,120.6913038,24.25386207,kidneybeans
32,57,18,5.695422862999999,15.53834801,107.3850593,23.75560241,kidneybeans
27,56,22,5.833010957999999,19.91853092,108.6434544,20.70099804,kidneybeans
17,77,24,5.568456899,20.76952209,109.0193712,18.93146941,kidneybeans
0,65,15,5.645435626,23.46168338,95.84253438,23.22197648,kidneybeans
13,72,21,5.821194486,24.32116642,60.27552528,21.0278674,kidneybeans
34,60,23,5.659254981,20.12574053,100.0497183,24.96969858,kidneybeans
9,80,19,5.945465949,21.80619564,125.0972687,18.57086554,kidneybeans
11,72,20,5.9511774520000005,19.52226241,113.334026,24.92607153,kidneybeans
3,67,24,5.5208800139999985,17.00067625,103.2926407,19.90790546,kidneybeans
35,69,23,5.578410206,16.78791503,75.45328039,24.96881755,kidneybeans
3,77,25,5.608165195,24.84906168,62.21292186,22.89464642,kidneybeans
23,62,19,5.609435127999999,16.51783455,98.77794225,20.4555596,kidneybeans
22,71,17,5.509295379,18.15300153,107.6907964,19.38602098,kidneybeans
31,79,25,5.902033406,23.18864385,63.38208822,22.3104551,kidneybeans
34,59,18,5.744117663,23.38002569,87.66898664,21.98879437,kidneybeans
12,63,17,5.717143397,18.358923,138.414764,19.37703396,kidneybeans
27,56,20,5.542690119,19.25975367,94.9533526,20.51346956,kidneybeans
7,63,24,5.858617867,22.95458237,107.7315386,24.03553105,kidneybeans
24,67,22,5.618844277000001,20.120043,104.6252153,22.89845607,kidneybeans
